Genomic Peptides,Substituted Peptides
0,0
0,0
0,0
4.595077698,0
4.780764425,0
3.649373807,0
4.907035889,0
0,0
5.246666458,0
4.830828375,0
5.441738092,0
6.999154576,0
0,0
5.222729755,0
4.269327979,0
4.989128138,0
5.856975379,0
4.560582629,0
3.502376996,0
5.203726605,0
4.196157422,0
4.435976401,0
4.766006436,0
4.389281839,0
5.129119645,0
0,0
3.602933672,0
4.807298848,0
5.600069671,0
5.387004433,0
6.785870361,0
4.792832219,0
4.369737254,0
4.40579337,0
0,0
5.750932018,0
5.192991809,0
3.040598385,0
4.799718283,0
5.34513763,0
5.341945777,0
5.208705392,0
2.846345773,0
3.962937951,0
0,0
0,0
5.651475853,0
4.244316119,0
4.397400628,0
3.884447245,0
5.396917119,0
5.852511217,0
5.380489825,0
4.352997859,0
5.314006912,0
3.601511239,0
3.902912487,0
4.790073547,0
5.535531713,0
0,0
5.447454137,0
4.598605154,0
5.824378342,0
4.020592748,0
6.937081097,0
5.834954068,0
5.873160866,0
5.840361406,0
0,0
4.343795406,0
5.583629347,0
4.371356471,0
3.721827014,0
6.089729738,0
3.451098078,0
3.678361932,0
3.286840294,0
4.435073239,0
4.452918682,0
5.251300897,0
4.472963004,0
4.347679321,0
4.581209283,0
5.166734915,0
4.445278454,0
5.373020839,0
5.949889688,0
5.603816985,0
0,0
4.264690301,0
6.275137738,0
3.479384104,0
4.103665682,0
0,0
6.188353059,0
5.105521023,0
0,0
4.298316271,0
0,0
5.218971978,0
3.786869489,0
5.287509356,0
4.331478356,0
5.0170496,0
3.848680916,0
6.231120696,0
4.397534275,0
4.99351605,0
4.858897795,0
5.241725299,0
3.741040686,0
5.226608944,0
5.318030202,0
0,0
5.298582523,0
0,0
5.11899076,0
6.732756258,0
7.033081989,0
5.756396667,0
3.297048867,0
0,0
6.793958138,0
6.274340068,0
3.618697587,0
0,0
0,0
4.694290735,0
5.91828074,0
5.166299113,0
6.156470405,0
5.029347884,0
3.858058488,0
5.34481297,0
4.776388522,0
0,0
4.673983439,0
0,0
5.749274616,0
0,0
4.601237104,0
4.597514982,0
0,0
5.064095108,0
0,0
5.846886495,0
6.250550963,0
5.74922853,0
6.071669724,0
4.471577606,0
5.323765164,0
6.200092622,0
0,0
0,0
0,0
4.868370029,0
0,0
5.282317842,0
5.374498505,0
5.17545206,0
4.010735898,0
4.587263074,0
4.906385171,0
0,0
4.624162509,0
5.370988878,0
6.485041213,0
5.805071739,0
3.184561407,0
3.705040252,0
3.606624244,0
6.232527457,0
0,0
0,0
4.175712505,0
5.090064031,0
0,0
5.903010341,0
6.14370951,0
0,0
5.904193156,0
0,0
4.972355731,0
5.881586225,0
4.065411454,0
