Library Decoy Hyperscore,One genome Decoy
18.891,16.275
18.516,22.276
18.965,18.895
19.036,22.629
18.926,22.205
15.854,18.964
17.412,26.598
15.924,22.345
15.473,22.584
18.256,20.062
18.881,20.1
17.427,20.336
18.771,20.475
16.696,22.173
9.971,20.833
17.516,20.442
17.168,20.175
13.678,19.58
13.639,24.025
13.571,18.626
8.771,20.632
15.971,20.64
8.579,22.219
8.669,16.241
8.529,19.153
16.297,20.702
14.087,18.194
8.058,16.775
13.581,18.414
17.625,20.497
17.176,22.544
9.256,14.212
17.234,20.505
13.767,16.216
18.818,20.675
13.232,22.286
14.273,22.447
8.561,18.201
8.101,22.226
17.536,22.837
7.562,21.054
9.61,15.375
10.161,18.754
7.108,20.522
15.157,18.794
13.715,14.442
12.853,20.492
11.997,20.735
9.517,20.548
12.076,19.363
14.483,20.542
10.197,19.825
14.153,22.378
8.789,22.251
11.53,18.402
12.216,17.199
12.507,19.043
6.629,24.282
13.693,16.664
14.031,17.053
17.26,20.35
11.378,18.74
9.333,22.252
9.444,18.743
11.419,22.114
11.039,20.656
14.157,18.808
11.145,15.666
12.211,17.977
9.998,22.477
7.414,20.095
10.782,15.128
10.063,18.423
11.781,20.413
13.404,20.706
14.338,20.687
12.851,22.489
12.347,18.711
13.78,21.157
9.247,19.787
13.643,17.542
15.397,16.565
10.955,20.477
10.694,20.393
15.029,19.075
9.826,15.245
11.054,22.519
11.863,18.467
8.889,19.342
10.892,18.71
14.179,20.159
10.372,13.763
12.973,20.651
11.414,22.602
10.304,20.025
10.369,12.604
13.097,21.529
11.298,15.86
6.911,18.913
12.345,19.148
10.312,18.469
11.345,20.011
10.871,24.221
11.221,20.283
8.629,19.393
9.004,19.505
8.864,17.053
12.772,18.952
13.507,18.473
11.634,18.519
13.904,19.122
11.652,18.359
9.18,16.633
15.148,18.751
15.959,14.928
10.316,17.883
11.061,11.309
9.647,19.598
10.478,20.577
12.95,23.007
10.903,16.314
8.676,18.733
11.834,20.851
8.645,16.253
9.948,18.827
8.988,22.445
11.894,15.204
11.506,16.659
13.887,21.955
13.1,18.235
12.48,17.29
9.251,17.161
11.011,18.666
9.706,15.643
9.909,17.194
11.641,18.573
10.694,18.995
10.266,18.824
8.368,16.929
9.711,15.098
9.458,20.388
11.65,19.132
10.298,10.352
12.471,10.947
8.512,17.409
9.42,20.426
9.028,10.772
8.749,16.989
8.205,12.903
8.717,19.148
9.538,18.901
9.506,15.459
11.464,20.672
10.394,20.342
8.827,18.274
10.458,11.128
13,15.603
8.619,17.804
10.305,14.606
12.624,15.487
9.206,18.836
10.607,17.469
8.289,17.097
11.314,16.349
12.274,14.764
10.743,16.849
16.217,15.555
9.729,15.975
12.358,16.228
9.209,14.755
11.014,17.483
8.609,14.666
9.524,20.218
11.075,18.624
9.319,17.023
9.748,16.852
10.887,15.563
14.023,15.074
8.128,11.059
8.03,20.719
9.171,13.837
10.954,20.625
9.323,18.853
12.08,14.975
9.059,17.656
11.762,17.209
10.819,17.046
13.682,18.329
11.333,16.809
10.469,18.335
13.446,18.452
10.961,18.484
13.514,20.335
9.609,22.283
10.488,19.75
8.154,20.008
9.999,18.873
8.956,19.49
12.378,14.626
8.802,17.686
9.77,18.353
9.745,20.574
12.199,18.367
9.203,16.71
10.854,26.074
10.852,17.017
8.8,13.88
10.379,18.828
12.232,20.685
10.566,15.336
10.821,18.259
9.298,11.369
13.248,18.345
11.733,15.036
11.887,18.443
7.957,20.872
13.983,20.354
12.004,18.893
10.53,19.111
12.966,12.837
11.42,18.582
11.228,14.179
10.747,11.405
14.378,13.498
14.798,15.941
13.026,16.169
11.422,11.18
11.008,22.744
9.702,18.203
12.075,17.075
10.85,20.19
8.005,15.366
11.677,13.182
8.444,20.601
12.558,11.291
9.059,14.744
13.232,18.168
8.97,17.016
9.393,13.91
9.468,15.955
11.417,18.809
11.333,18.841
9.596,22.817
11.694,17.282
9.829,16.281
13.314,18.503
14.132,16.76
16.483,16.633
10.335,20.762
9.362,19.045
10.671,14.614
13.51,15.621
12.686,14.207
10.382,15.024
13.32,22.681
12.582,22.471
10.475,16.962
11.445,18.814
8.393,15.061
8.796,15.678
10.919,20.773
9.918,14.546
10.909,18.211
11.98,23.164
8.423,15.402
12.88,16.471
11.971,17.906
11.362,14.735
11.931,20.606
10.49,15.405
13.446,16.513
11.494,15.115
8.478,18.222
12.605,17.159
9.226,14.091
