Ecoli time (s),Ecoli Intensity,S. typhimurium time (s),S. typhimurium Intensity
0.417,172,0.284,0
0.547,79,0.407,124
0.676,0,0.534,0
0.807,467,0.663,0
0.931,53,0.791,0
1.06,0,0.916,0
1.183,0,1.042,0
1.311,0,1.17,119
1.441,0,1.3,87
1.572,179,1.426,66
1.701,0,1.558,0
1.83,0,1.683,0
1.957,0,1.814,0
2.087,0,1.937,184
2.215,0,2.067,0
2.34,0,2.196,0
2.468,0,2.319,57
2.597,283,2.443,0
2.723,0,2.567,115
2.853,0,2.696,0
2.98,54,2.826,0
3.103,0,2.955,0
3.232,59,3.086,189
3.356,0,3.212,0
3.482,0,3.341,0
3.609,0,3.472,0
3.737,0,3.6,166
3.863,0,3.726,0
3.995,144,3.852,37
4.126,92,3.982,216
4.251,0,4.115,0
4.379,0,4.242,78
4.51,0,4.373,0
4.641,0,4.502,61
4.77,0,4.626,144
4.9,90,4.757,0
5.027,9,4.879,0
5.155,0,5.01,121
5.281,0,5.139,0
5.407,0,5.272,0
5.537,85,5.402,0
5.665,214,5.531,0
5.795,119,5.66,65
5.927,370,5.789,0
6.05,116,5.922,0
6.611,0,6.05,0
7.777,123,6.606,332
8.943,241,7.387,0
10.109,0,8.555,0
11.276,0,9.721,110
11.806,0,10.463,0
11.935,68,11.022,35
12.492,0,11.552,0
13.022,0,11.679,0
13.148,0,11.805,0
13.279,0,11.938,0
13.41,54,12.065,51
13.538,0,12.197,113
13.669,0,12.324,70
13.791,191,12.45,0
13.916,0,12.579,0
14.044,0,12.706,0
14.174,203,12.833,271
14.301,0,12.959,0
14.428,86,13.083,98
14.551,0,13.214,0
14.681,0,13.336,119
14.808,153,13.465,81
14.935,0,13.592,75
15.063,0,13.72,237
15.185,90,13.848,161
15.312,152,13.973,56
15.44,43,14.102,75
15.57,59,14.228,0
15.693,0,14.357,225
15.822,54,14.484,80
15.948,0,14.61,192
16.078,0,14.739,102
16.213,213,14.866,106
16.338,59,14.997,77
16.458,64,15.128,0
16.584,42,15.256,87
16.712,104,15.384,60
16.843,37,15.513,0
16.965,0,15.643,51
17.091,109,15.771,168
17.219,0,15.896,0
17.348,66,16.024,87
17.479,0,16.151,0
17.607,0,16.281,0
17.731,0,16.412,86
17.86,87,16.535,0
17.986,115,16.663,0
18.114,70,16.792,272
18.242,0,16.919,0
18.367,0,17.047,0
18.716,189,17.175,63
18.845,0,17.303,0
