Intensity,DB dIM,dRetention
11292348,0.0129,-14.7576
11254933,0.032,-7.7608
11136144,0.0114,-12.2073
11118386,0.0291,-5.209
10745942,0.0258,-1.1672
10716916,0.0108,-10.5018
9948590,0.0259,-5.4095
9526169,0.0262,-5.0347
9525718,0.0037,-16.8719
9385355,0.0056,-19.4244
9093945,0.0059,-15.9055
8839361,0.0056,-15.5324
8450157,0.0056,-21.7568
8334106.5,0.004,-15.1672
8248613.5,0.0036,-19.2056
7589588.5,0.0055,8.5846
7422566.5,0.0039,-19.4051
7420949.5,0.0037,-17.4993
7400151.5,0.0055,8.9608
7239409.5,0.0034,-19.0304
7204063.5,0.0072,13.996
7041726.5,0.003,-21.5372
7037656,0.0056,12.285
6740590.5,0.0054,-24.0883
6706988.5,0.0036,-21.7375
6419918,0.0029,-19.8318
6388176.5,0.0077,9.7322
6266305.5,0.0036,-21.3625
6244537.5,0.0215,-4.9456
6222042.5,0.0136,4.0437
5821088,0.0015,-9.6091
5704199.5,0.0002,-8.784
4977610,-0.0005,-13.1089
4804044.5,0,-15.4417
4801518.5,-0.0017,-12.2829
4793197.5,0.0095,17.3503
4511281,0.0026,15.7066
4488927.5,0.0051,15.4108
4488927.5,-0.0077,15.4108
4304515,0.0007,-16.607
4054961,-0.0023,-14.6163
3859254.8,-0.0036,-4.2169
3843878.2,-0.0037,-3.1187
3549997,-0.004,-7.7169
3516777.8,-0.0067,-6.617
3014336,-0.0015,20.2726
3013860.2,-0.0059,-8.95
2884848.8,-0.0066,-10.0478
2774385.2,-0.0048,21.3741
2476519.8,-0.0074,-10.1165
2267982.8,-0.0068,-3.3634
2260354,-0.0095,-3.3227
2098520.2,-0.0058,-6.8621
2056903.5,-0.0108,-6.8217
1870249.6,-0.0089,-9.1942
1757123.4,-0.0107,-10.3611
1708709,-0.0112,-10.3194
1682951.5,-0.0095,21.1675
1547548.1,-0.0049,21.1267
1396520.2,-0.0077,0.7934
1394907.5,-0.0067,0.5736
1354621.2,-0.0071,-4.0921
1349385,-0.0103,-3.8719
1080931,-0.0109,-7.3696
1010901.5,-0.0073,-7.5909
759883.56,-0.0047,25.2849
731244.5,-0.0067,25.0647
422184.22,0.0033,-88.2406
377529.84,-0.0017,-94.0711
371349.4,-0.0084,0.3137
369174.4,0.0014,-85.1427
367343.6,0.0021,-86.8505
366728.1,-0.0103,-1.0368
355441.75,-0.0111,-4.3506
322417.03,0,-84.3432
321950.3,-0.0049,-91.7107
312757.88,-0.0094,-5.7018
302593.34,-0.006,-89.8068
294369.38,-0.0119,-5.5162
278935.88,-0.0061,-91.515
219717.08,-0.0046,-91.3408
207775.55,-0.0031,-78.7621
195576.08,-0.0024,-76.0858
191264.3,-0.0123,2.1685
161099.23,-0.0081,-84.5931
157650.84,-0.0173,-3.663
135948.19,-0.0075,-86.5808
116726.04,-0.0139,-80.0225
