Intensity_db,DB dIM,dRetention
11254934,0.032,-7.7608
11118387,0.0291,-5.209
10745943,0.0258,-1.1672
9948591,0.0259,-5.4095
9526170,0.0262,-5.0347
6244538.5,0.0215,-4.9456
6222043.5,0.0136,4.0437
4804045.5,0,-15.4417
4793198.5,0.0095,17.3503
4488928.5,0.0051,15.4108
2774386.2,-0.0048,21.3741
191265.3,-0.0123,2.1685
157651.84,-0.0173,-3.663
102540.35,-0.0077,-93.6715
66105.62,0.4015,-4.2619
62012.75,0.4037,-1.1672
56549.8,-0.0158,-78.0038
52675.582,-0.0141,-79.1702
46225.547,-0.0186,1.3551
44948.49,-0.0164,0.1894
44413.535,-0.0189,0.0536
42412.094,-0.0197,-0.977
9456257,-0.0088,-170.2144
9027760,-0.0198,-177.0183
8959383,-0.029,-180.5175
8368688.5,-0.0248,-174.8904
8343399,-0.0186,-172.0658
8330842.5,-0.0109,-172.2791
8285247,0.023,-173.5196
8241227.5,-0.0197,-175.5638
8148161.5,0.0017,-146.889
7874472.5,-0.009,-171.6874
7724416.5,0.0106,-180.7214
7717659,0.0203,-172.5565
7497739,0.0199,-172.0658
7487241.5,-0.0157,-178.6846
7381123.5,-0.0369,-165.3561
7026823.5,0.0136,-167.6145
6840350.5,0.007,-179.8505
6840299,0.0119,-168.1874
6796034.5,-0.0294,-173.4455
6795083.5,-0.0293,-176.943
6774298.5,0.0176,-171.112
6697523.5,-0.0276,-169.3554
6523863.5,-0.0453,-147.5745
6465438.5,0.0124,-180.4426
5607176.5,0.0265,-151.2854
5151883,0.0233,-150.6946
5079462,-0.0028,-147.7874
3208766.8,-0.0225,-163.135
2919633.8,-0.0643,-167.4007
2784023,0.008,-162.9194
2689424,-0.0663,-170.5208
2680117,-0.0638,-164.1137
2667781.5,0.0062,-166.6337
2661383,-0.0696,-178.1096
2648582.2,-0.071,-176.3514
2449471.8,-0.0768,-170.0535
2411059,-0.0699,-161.7535
2302521,-0.0775,-170.1317
2282968.5,-0.0717,-172.3855
2172533.2,-0.0742,-160.802
2075429,0.3819,-177.0183
2036877.5,0.3752,-172.0658
1990020.5,0.0285,-165.468
1818510.5,0.3788,-172.5565
1608030.6,0.3796,-171.112
1596372.5,0.3773,-173.4455
1525996.9,0.3373,-163.0236
1482689.4,0.3828,-170.5208
1115422.6,0.331,-166.2343
1018843.3,-0.0778,-161.9103
1007164.4,0.3303,-171.112
975476.8,-0.0781,-139.8067
948759.2,-0.0259,-163.4964
931696,0.005,-158.4107
831780.7,-0.0529,-165.829
738556.94,-0.0033,-158.8318
731042.25,-0.0789,-165.829
661358.7,-0.0102,-169.3279
621072.25,-0.0189,-171.2198
614792,0.3249,-169.3554
513519.34,0.3749,-161.968
505405.25,0.3761,-159.4214
479953.1,-0.0831,-170.0759
461174.38,-0.082,-160.7171
458594.03,-0.0223,-152.127
456413.66,-0.0798,-163.7908
454523.34,-0.0079,-155.6275
424790.1,-0.0965,-159.125
395461.78,-0.0816,-165.3817
381392.47,-0.0007,-158.3841
294633.56,-0.0804,-167.7143
191275.88,-0.084,-157.3512
184230.84,0.3108,-168.7806
167540.25,0.008,-156.1848
166674.81,-0.08,-157.8284
156809.27,-0.0832,-160.1609
99505.65,-0.081,-157.8985
99451.81,-0.081,-160.2301
95192.414,0.3025,-170.2144
63325.043,0.2933,-167.4007
60181.906,0.2986,-165.281
41754.977,-0.0619,-234.1708
40561.58,-0.066,-234.3757
39744.46,-0.0652,-232.0431
38252.12,0.2987,-161.5695
33316.973,-0.0654,-229.2151
31635.83,-0.0653,-232.9252
27740.479,-0.0642,-230.5787
26234.275,-0.0647,-229.413
22338.057,0.2451,-158.2548
9863759,-0.0261,105.8687
9284571,-0.02,107.641
9216393,-0.0186,108.3303
9207364,-0.0095,105.9977
9196946,0.0025,105.9977
8505178,0.0024,97.7044
8462557,0.0068,100.6437
8090470.5,-0.0213,109.7845
8044897,-0.0122,103.952
7981853,-0.0215,107.9847
7891695,-0.0221,113.8157
7828483,-0.0174,99.4761
