GenBank ID,UniProt ID
DAA08345.1,P00924
DAA06866.1,P00925
DAA08747.1,P00360
DAA11734.1,P25694
DAA11885.1,P15180
DAA09815.1,P81450
DAA10741.1,Q08208
DAA07442.1,P17967
DAA08029.1,P05737
DAA11011.1,Q08647
DAA10013.1,P38011
DAA07986.1,P25443
DAA11730.1,P10622
DAA07490.1,P00560
DAA10038.1,P40212
DAA07712.1,P00498
DAA07049.1,P0CX39
DAA07874.1,P46655
DAA06686.1,P38754
DAA11082.1,P30624
DAA08719.1,P06105
DAA11134.1,P07262
DAA06927.1,P39708
DAA07752.1,P05694
DAA08985.1,P07149
DAA07672.1,P52871
DAA09572.1,P19882
DAA12004.1,P30619
DAA10373.1,P05750
DAA06948.1,P00549
DAA10316.2,P33338
DAA10976.1,P06634
DAA08257.1,P39935
DAA09007.2,P32454
DAA10973.1,P38934
DAA10783.1,Q12149
DAA08369.1,P53049
DAA10048.1,Q03790
DAA11302.1,P26321
DAA07269.1,P20434
DAA09011.1,P00950
DAA08090.1,P05030
DAA06801.1,P32468
DAA10699.1,P00330
DAA11897.1,P00942
DAA09461.1,P39015
DAA07191.1,P15992
DAA10476.1,P26785
DAA11461.2,P32288
DAA09278.1,P29453
DAA08420.1,P26784
DAA11577.1,P06738
DAA06757.1,P38788
DAA10084.1,P15108
DAA10873.1,P26786
DAA10907.1,P32324
DAA11597.1,P15303
DAA11108.1,P52489
DAA09680.1,P32915
DAA08373.1,P32527
DAA10557.1,Q00955
DAA11205.1,P19097
DAA07714.1,P87262
DAA09054.1,P14742
DAA09721.1,Q06698
DAA07626.1,P39990
DAA09351.1,Q07979
DAA08924.1,P31116
DAA10039.1,P0CX51
DAA08331.1,P16861
DAA10104.1,P16862
DAA09294.1,P31539
DAA06875.1,P38720
DAA09644.1,P05317
DAA10832.1,Q08421
DAA10128.1,Q05022
DAA09872.1,P0CX56
DAA12401.1,P60010
DAA10259.1,P0CX50
DAA07152.1,P10664
DAA07147.1,P38219
DAA07975.1,P0CX44
DAA12016.1,Q03973
DAA10771.1,Q12692
DAA12067.1,P04911
DAA11821.2,Q12389
DAA08089.1,P07264
DAA10842.1,P14126
DAA07198.1,P38249
DAA12464.1,P43603
DAA10864.1,Q12466
DAA09689.1,P41057
DAA10679.1,Q12273
DAA11562.1,Q12207
DAA10041.1,P40215
DAA09563.1,P16521
DAA11075.1,Q12499
DAA06697.1,P00447
DAA08208.1,P23615
DAA07909.1,P32558
DAA09289.1,Q07834
DAA07827.1,P04147
DAA10254.1,P21965
DAA10543.1,P00890
DAA09516.1,Q12460
DAA10743.1,P05319
DAA12033.1,Q03940
DAA08671.2,P07259
DAA08662.1,P10081
DAA11339.1,P21825
